Year,Month,Day,Steps
2020,5,22,3405
2020,5,23,3339
2020,5,24,3352
2020,5,25,8133
2020,5,26,8033
2020,5,27,8630
2020,5,28,13987
2020,5,29,12902
2020,5,30,5739
2020,5,31,3714
2020,6,1,4962
2020,6,2,8273
2020,6,3,9462
2020,6,4,4381
2020,6,5,7655
2020,6,6,18020
2020,6,7,10441
2020,6,8,7811
2020,6,9,4250
2020,6,10,8361
2020,6,11,6762
2020,6,12,14359
2020,6,13,8374
2020,6,14,10725
2020,6,15,7918
2020,6,16,16584
2020,6,17,8670
2020,6,18,9929
2020,6,19,10941
2020,6,20,8132
2020,6,21,7717
2020,6,22,5985
2020,6,23,7611
2020,6,24,7564
2020,6,25,2057
2020,6,26,2816
2020,6,27,8100
2020,6,28,7082
2020,6,29,5517
2020,6,30,8295
2020,7,1,9002
2020,7,2,925
2020,7,3,5045
2020,7,4,5083
2020,7,5,15435
2020,7,6,3150
2020,7,7,6075
2020,7,8,4622
2020,7,9,8830
2020,7,10,4838
2020,7,11,2641
2020,7,12,6144
2020,7,13,9375
2020,7,14,8861
2020,7,15,9861
2020,7,16,5168
2020,7,17,4839
2020,7,18,1482
2020,7,19,1830
2020,7,20,4477
2020,7,21,5603
2020,7,22,3981
2020,7,23,8621
2020,7,24,8902
2020,7,25,3104
2020,7,26,3957
2020,7,27,7395
2020,7,28,4958
2020,7,29,13878
2020,7,30,11088
2020,7,31,8703
2020,8,1,4385
2020,8,2,8093
2020,8,3,7244
2020,8,4,3298
2020,8,5,9279
2020,8,6,8973
2020,8,7,7937
2020,8,8,6873
2020,8,9,8594
2020,8,10,8395
2020,8,11,6904
2020,8,12,7735
2020,8,13,8301
2020,8,14,4550
2020,8,15,3905
2020,8,16,5273
2020,8,17,9205
2020,8,18,6464
2020,8,19,8153
2020,8,20,5648
2020,8,21,8152
2020,8,22,4865
2020,8,23,14431
2020,8,24,8371
2020,8,25,9996
2020,8,26,9335
2020,8,27,8303
2020,8,28,9083
2020,8,29,10376
2020,8,30,10474
2020,8,31,13872
2020,9,1,8914
2020,9,2,8598
2020,9,3,8723
2020,9,4,8475
2020,9,5,3382
2020,9,6,10132
2020,9,7,13699
2020,9,8,9492
2020,9,9,8033
2020,9,10,12927
2020,9,11,7745
2020,9,12,7161
2020,9,13,15022
2020,9,14,8236
2020,9,15,6999
2020,9,16,7366
2020,9,17,6928
2020,9,18,6776
2020,9,19,16505
2020,9,20,6296
2020,9,21,7989
2020,9,22,8231
2020,9,23,12169
2020,9,24,7113
2020,9,25,6476
2020,9,26,13380
2020,9,27,8101
2020,9,28,8505
2020,9,29,8382
2020,9,30,12588
2020,10,1,10620
2020,10,2,6419
2020,10,3,8534
2020,10,4,9194
2020,10,5,4731
2020,10,6,12483
2020,10,7,11896
2020,10,8,7467
2020,10,9,6328
2020,10,10,12917
2020,10,11,24040
2020,10,12,8265
2020,10,13,14120
2020,10,14,9095
2020,10,15,9106
2020,10,16,8147
2020,10,17,4878
2020,10,18,10647
2020,10,19,10532
2020,10,20,11974
2020,10,21,11636
2020,10,22,8574
2020,10,23,8021
2020,10,24,23321
2020,10,25,8304
2020,10,26,7951
2020,10,27,7310
2020,10,28,9667
2020,10,29,4133
2020,10,30,7101
2020,10,31,11647
2020,11,1,6351
2020,11,2,8196
2020,11,3,7411
2020,11,4,6227
2020,11,5,10691
2020,11,6,7915
2020,11,7,8159
2020,11,8,8632
2020,11,9,9331
2020,11,10,11684
2020,11,11,5680
2020,11,12,10813
2020,11,13,30622
2020,11,14,12229
2020,11,15,18612
2020,11,16,8605
2020,11,17,8633
2020,11,18,8494
2020,11,19,15942
2020,11,20,14257
2020,11,21,36558
2020,11,22,13101
2020,11,23,16089
2020,11,24,9882
2020,11,25,11480
2020,11,26,6790
2020,11,27,9443
2020,11,28,3965
2020,11,29,9321
2020,11,30,7495
2020,12,1,8898
2020,12,2,9091
2020,12,3,8010
2020,12,4,6910
2020,12,5,4586
2020,12,6,10140
2020,12,7,5303
2020,12,8,9003
2020,12,9,8056
2020,12,10,7983
2020,12,11,9733
2020,12,12,12953
2020,12,13,13831
2020,12,14,3385
2020,12,15,8873
2020,12,16,8116
2020,12,17,8162
2020,12,18,9334
2020,12,19,11649
2020,12,20,27738
2020,12,21,8813
2020,12,22,10096
2020,12,23,15123
2020,12,24,7705
2020,12,25,9598
2020,12,26,8559
2020,12,27,8135
2020,12,28,8259
2020,12,29,10471
2020,12,30,1617
2020,12,31,792
2021,1,1,10321
2021,1,2,10076
2021,1,3,8052
2021,1,4,10305
2021,1,5,10114
2021,1,6,10724
2021,1,7,1534
2021,1,8,667
2021,1,9,4081
2021,1,10,9309
2021,1,11,8902
2021,1,12,8623
2021,1,13,8312
2021,1,14,2138
2021,1,15,1463
2021,1,16,1815
2021,1,17,10674
2021,1,18,6649
2021,1,19,907
2021,1,20,495
2021,1,21,1383
2021,1,22,8358
2021,1,23,8609
2021,1,24,6192
2021,1,25,9195
2021,1,26,958
2021,1,27,8719
2021,1,28,5616
2021,1,29,5971
2021,1,30,8047
2021,1,31,1850
2021,2,1,3691
2021,2,2,1202
2021,2,3,1320
2021,2,4,9732
2021,2,5,8992
2021,2,6,10167
2021,2,7,4780
2021,2,8,890
2021,2,9,5798
2021,2,10,1635
2021,2,11,3144
2021,2,12,6743
2021,2,13,10314
2021,2,14,1730
2021,2,15,792
2021,2,16,1044
2021,2,17,1793
2021,2,18,9617
2021,2,19,8030
2021,2,20,9787
2021,2,21,1318
2021,2,22,1398
2021,2,23,1180
2021,2,24,10660
2021,2,25,1837
2021,2,26,6294
2021,2,27,8385
2021,2,28,5547
2021,3,1,874
2021,3,2,8228
2021,3,3,9901
2021,3,4,3190
2021,3,5,8685
2021,3,6,1472
2021,3,7,1421
2021,3,8,9009
2021,3,9,8239
2021,3,10,9247
2021,3,11,8973
2021,3,12,5160
2021,3,13,7815
2021,3,14,2938
2021,3,15,1111
2021,3,16,1545
2021,3,17,7281
2021,3,18,1202
2021,3,19,7100
2021,3,20,6251
2021,3,21,15173
2021,3,22,10229
2021,3,23,8899
2021,3,24,7039
2021,3,25,7568
2021,3,26,9145
2021,3,27,9911
2021,3,28,5335
2021,3,29,8220
2021,3,30,8703
2021,3,31,8542
2021,4,1,6038
2021,4,2,7825
2021,4,3,11345
2021,4,4,17762
2021,4,5,8196
2021,4,6,9709
2021,4,7,8181
2021,4,8,7997
2021,4,9,9081
2021,4,10,8798
2021,4,11,9481
2021,4,12,1646
2021,4,13,6664
2021,4,14,10229
2021,4,15,4994
2021,4,16,8627
2021,4,17,14379
2021,4,18,8185
2021,4,19,10302
2021,4,20,9734
2021,4,21,22921
2021,4,22,1487
2021,4,23,4781
2021,4,24,9904
2021,4,25,12599
2021,4,26,11674
2021,4,27,8207
2021,4,28,8052
2021,4,29,3786
2021,4,30,7648
2021,5,1,8043
2021,5,2,14929
2021,5,3,11060
2021,5,4,9812
2021,5,5,5741
2021,5,6,9037
2021,5,7,10999
2021,5,8,9607
2021,5,9,1446
2021,5,10,6939
2021,5,11,8747
2021,5,12,11106
2021,5,13,8999
2021,5,14,9766
2021,5,15,15931
2021,5,16,10754
2021,5,17,5273
2021,5,18,5600
2021,5,19,4389
2021,5,20,9523
2021,5,21,5823
2021,5,22,9265
2021,5,23,4823
2021,5,24,4973
2021,5,25,12379
2021,5,26,7161
2021,5,27,5791
2021,5,28,15834
2021,5,29,5442
2021,5,30,3365
2021,5,31,13026
2021,6,1,10992
2021,6,2,2104
2021,6,3,7647
2021,6,4,8264
2021,6,5,15637
2021,6,6,4073
2021,6,7,2933
2021,6,8,2809
2021,6,9,7402
2021,6,10,7620
2021,6,11,9443
2021,6,12,3238
2021,6,13,6835
2021,6,14,3857
2021,6,15,12730
2021,6,16,7877
2021,6,17,10331
2021,6,18,8212
2021,6,19,10915
2021,6,20,6852
2021,6,21,4642
2021,6,22,12328
2021,6,23,10544
2021,6,24,9250
2021,6,25,8511
2021,6,26,6720
2021,6,27,6240
2021,6,28,7011
2021,6,29,5898
2021,6,30,7809
2021,7,1,6176
2021,7,2,9911
2021,7,3,10770
2021,7,4,2516
2021,7,5,1686
2021,7,6,4292
2021,7,7,4926
2021,7,8,9506
2021,7,9,10732
2021,7,10,9133
2021,7,11,9638
2021,7,12,11520
2021,7,13,4975
2021,7,14,12507
2021,7,15,10452
2021,7,16,5958
2021,7,17,13642
2021,7,18,27790
2021,7,19,11984
2021,7,20,10836
2021,7,21,11419
2021,7,22,11238
2021,7,23,9972
2021,7,24,12091
2021,7,25,18984
2021,7,26,7207
2021,7,27,11756
2021,7,28,22025
2021,7,29,9017
2021,7,30,10508
2021,7,31,8240
2021,8,1,10656
2021,8,2,13215
2021,8,3,12554
2021,8,4,5662
2021,8,5,5354
2021,8,6,8267
2021,8,7,4259
2021,8,8,10955
2021,8,9,11337
2021,8,10,9440
2021,8,11,9780
2021,8,12,8246
2021,8,13,5267
2021,8,14,11368
2021,8,15,16951
2021,8,16,11038
2021,8,17,11165
2021,8,18,12835
2021,8,19,5111
2021,8,20,3427
2021,8,21,23426
2021,8,22,28139
2021,8,23,31270
2021,8,24,27251
2021,8,25,6007
2021,8,26,28213
2021,8,27,7158
2021,8,28,3739
2021,8,29,12261
2021,8,30,8607
2021,8,31,2214
2021,9,1,4296
2021,9,2,8321
2021,9,3,10150
2021,9,4,9882
2021,9,5,8317
2021,9,6,8442
2021,9,7,9116
2021,9,8,12119
2021,9,9,9751
2021,9,10,11767
2021,9,11,8335
2021,9,12,10178
2021,9,13,14117
2021,9,14,10186
2021,9,15,8506
2021,9,16,10687
2021,9,17,12069
2021,9,18,15525
2021,9,19,7515
2021,9,20,8650
2021,9,21,14767
2021,9,22,4628
2021,9,23,12656
2021,9,24,8147
2021,9,25,8043
2021,9,26,8389
2021,9,27,8292
2021,9,28,8274
2021,9,29,13840
2021,9,30,11447
2021,10,1,15885
2021,10,2,9056
2021,10,3,13596
2021,10,4,12275
2021,10,5,9092
2021,10,6,10905
2021,10,7,11528
2021,10,8,8227
2021,10,9,21623
2021,10,10,9274
2021,10,11,9344
2021,10,12,11434
2021,10,13,15564
2021,10,14,9025
2021,10,15,18563
2021,10,16,9759
2021,10,17,22891
2021,10,18,12461
2021,10,19,12684
2021,10,20,11824
2021,10,21,9946
2021,10,22,12369
2021,10,23,8366
2021,10,24,8844
2021,10,25,11704
2021,10,26,8324
2021,10,27,9385
2021,10,28,16051
2021,10,29,9546
2021,10,30,12705
2021,10,31,9842
2021,11,1,8561
2021,11,2,10564
2021,11,3,12617
2021,11,4,13019
2021,11,5,9859
2021,11,6,12952
2021,11,7,10351
2021,11,8,10702
2021,11,9,10246
2021,11,10,15694
2021,11,11,8766
2021,11,12,8203
2021,11,13,12096
2021,11,14,8715
2021,11,15,8551
2021,11,16,15844
2021,11,17,8045
2021,11,18,9861
2021,11,19,12115
2021,11,20,8400
2021,11,21,11038
2021,11,22,12300
2021,11,23,10599
2021,11,24,17214
2021,11,25,16914
2021,11,26,3319
2021,11,27,8319
2021,11,28,18206
2021,11,29,8108
2021,11,30,12062
2021,12,1,8199
2021,12,2,13367
2021,12,3,1865
2021,12,4,7588
2021,12,5,10945
2021,12,6,9222
2021,12,7,10118
2021,12,8,8855
2021,12,9,14216
2021,12,10,14156
2021,12,11,19274
2021,12,12,11975
2021,12,13,11327
2021,12,14,7721
2021,12,15,14317
2021,12,16,13442
2021,12,17,12142
2021,12,18,7322
2021,12,19,14632
2021,12,20,15240
2021,12,21,8446
2021,12,22,12723
2021,12,23,5801
2021,12,24,8186
2021,12,25,11575
2021,12,26,19863
2021,12,27,25881
2021,12,28,10215
2021,12,29,14076
2021,12,30,5082
2021,12,31,10120
2022,1,1,11153
2022,1,2,9321
2022,1,3,11401
2022,1,4,6582
2022,1,5,8887
2022,1,6,6311
2022,1,7,12202
2022,1,8,1965
2022,1,9,6099
2022,1,10,8592
2022,1,11,8172
2022,1,12,11860
2022,1,13,8595
2022,1,14,8688
2022,1,15,8999
2022,1,16,10080
2022,1,17,1576
2022,1,18,8475
2022,1,19,8264
2022,1,20,8003
2022,1,21,5639
2022,1,22,10459
2022,1,23,1972
2022,1,24,10844
2022,1,25,8505
2022,1,26,5461
2022,1,27,8166
2022,1,28,1639
2022,1,29,8293
2022,1,30,9222
2022,1,31,939
2022,2,1,10686
2022,2,2,8082
2022,2,3,8171
2022,2,4,4662
2022,2,5,1484
2022,2,6,19877
2022,2,7,1201
2022,2,8,750
2022,2,9,16872
2022,2,10,14763
